YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Total,Sex,Grade,Race,Latitude,Longitude,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2023,2023,CT,Connecticut,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,20.1,20.1,,,17.4,23.1,837,,,,Hispanic,"(41.56266102, -72.649840952)",OWS,OWS1,Q039,VALUE,09,Race/Ethnicity,Hispanic,RACE,RACEHIS
2023,2023,CT,Connecticut,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,13.1,13.1,,,11.3,15.1,1345,,,,Non-Hispanic White,"(41.56266102, -72.649840952)",OWS,OWS1,Q039,VALUE,09,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2023,2023,DE,Delaware,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,16.5,16.5,,,8.6,29.3,45,,,,Asian,"(39.008830667, -75.577741168)",OWS,OWS1,Q039,VALUE,10,Race/Ethnicity,Asian,RACE,RACEASN
2023,2023,DE,Delaware,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,19.2,19.2,,,13.8,26,258,,,,Non-Hispanic Black,"(39.008830667, -75.577741168)",OWS,OWS1,Q039,VALUE,10,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2023,2023,DE,Delaware,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,20,20,,,15,26.2,236,,,,Hispanic,"(39.008830667, -75.577741168)",OWS,OWS1,Q039,VALUE,10,Race/Ethnicity,Hispanic,RACE,RACEHIS
2023,2023,DE,Delaware,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,12.2,12.2,,,9.6,15.4,451,,,,Non-Hispanic White,"(39.008830667, -75.577741168)",OWS,OWS1,Q039,VALUE,10,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2023,2023,DC,District of Columbia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,11.3,11.3,,,7.7,16.3,204,,,,Asian,"(38.890371385, -77.031961127)",OWS,OWS1,Q039,VALUE,11,Race/Ethnicity,Asian,RACE,RACEASN
2023,2023,DC,District of Columbia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,16.7,16.7,,,15.8,17.7,5931,,,,Non-Hispanic Black,"(38.890371385, -77.031961127)",OWS,OWS1,Q039,VALUE,11,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2023,2023,DC,District of Columbia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,19.8,19.8,,,18.2,21.5,2240,,,,Hispanic,"(38.890371385, -77.031961127)",OWS,OWS1,Q039,VALUE,11,Race/Ethnicity,Hispanic,RACE,RACEHIS
2023,2023,DC,District of Columbia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,20.7,20.7,,,10.3,37.3,31,,,,American Indian/Alaska Native,"(38.890371385, -77.031961127)",OWS,OWS1,Q039,VALUE,11,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2023,2023,DC,District of Columbia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,8.3,8.3,,,6.8,10,1131,,,,Non-Hispanic White,"(38.890371385, -77.031961127)",OWS,OWS1,Q039,VALUE,11,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2023,2023,HI,Hawaii,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,14,14,,,11.7,16.6,934,,,,Asian,"(21.304850435, -157.857749403)",OWS,OWS1,Q039,VALUE,15,Race/Ethnicity,Asian,RACE,RACEASN
2023,2023,HI,Hawaii,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,16.5,16.5,,,8.3,30.3,37,,,,Non-Hispanic Black,"(21.304850435, -157.857749403)",OWS,OWS1,Q039,VALUE,15,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2023,2023,HI,Hawaii,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,13.5,13.5,,,11,16.5,732,,,,Hispanic,"(21.304850435, -157.857749403)",OWS,OWS1,Q039,VALUE,15,Race/Ethnicity,Hispanic,RACE,RACEHIS
2023,2023,HI,Hawaii,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,17.7,17.7,,,14.9,20.8,1284,,,,Hawaiian/Pacific Islander,"(21.304850435, -157.857749403)",OWS,OWS1,Q039,VALUE,15,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2023,2023,HI,Hawaii,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,14.5,14.5,,,9.7,21.1,294,,,,Non-Hispanic White,"(21.304850435, -157.857749403)",OWS,OWS1,Q039,VALUE,15,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2023,2023,IL,Illinois,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,10.4,10.4,,,7.1,15,138,,,,Asian,"(40.485010283, -88.997710178)",OWS,OWS1,Q039,VALUE,17,Race/Ethnicity,Asian,RACE,RACEASN
2023,2023,IL,Illinois,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,17.1,17.1,,,13.5,21.4,556,,,,Non-Hispanic Black,"(40.485010283, -88.997710178)",OWS,OWS1,Q039,VALUE,17,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2023,2023,IL,Illinois,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,16.6,16.6,,,13.6,20,1045,,,,Hispanic,"(40.485010283, -88.997710178)",OWS,OWS1,Q039,VALUE,17,Race/Ethnicity,Hispanic,RACE,RACEHIS
2023,2023,IL,Illinois,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,12.9,12.9,,,10.4,15.9,695,,,,Non-Hispanic White,"(40.485010283, -88.997710178)",OWS,OWS1,Q039,VALUE,17,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2023,2023,IN,Indiana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,14,14,,,9.1,21,157,,,,Non-Hispanic Black,"(39.766910452, -86.149960194)",OWS,OWS1,Q039,VALUE,18,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2023,2023,IN,Indiana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,14.6,14.6,,,9.7,21.5,160,,,,Hispanic,"(39.766910452, -86.149960194)",OWS,OWS1,Q039,VALUE,18,Race/Ethnicity,Hispanic,RACE,RACEHIS
2023,2023,IN,Indiana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,16.3,16.3,,,13.5,19.4,485,,,,Non-Hispanic White,"(39.766910452, -86.149960194)",OWS,OWS1,Q039,VALUE,18,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2023,2023,KY,Kentucky,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,14,14,,,4.1,38.1,34,,,,Asian,"(37.645970271, -84.774971048)",OWS,OWS1,Q039,VALUE,21,Race/Ethnicity,Asian,RACE,RACEASN
2023,2023,KY,Kentucky,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,13.8,13.8,,,7.2,25,112,,,,Non-Hispanic Black,"(37.645970271, -84.774971048)",OWS,OWS1,Q039,VALUE,21,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2023,2023,KY,Kentucky,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,17.4,17.4,,,11.8,24.8,161,,,,Hispanic,"(37.645970271, -84.774971048)",OWS,OWS1,Q039,VALUE,21,Race/Ethnicity,Hispanic,RACE,RACEHIS
2023,2023,KY,Kentucky,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,15.2,15.2,,,13.7,16.9,1304,,,,Non-Hispanic White,"(37.645970271, -84.774971048)",OWS,OWS1,Q039,VALUE,21,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2023,2023,ME,Maine,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,14.7,14.7,,,10,21.1,144,,,,Asian,"(45.254228894001, -68.985031336)",OWS,OWS1,Q039,VALUE,23,Race/Ethnicity,Asian,RACE,RACEASN
2023,2023,ME,Maine,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,15.7,15.7,,,12,20.3,201,,,,Non-Hispanic Black,"(45.254228894001, -68.985031336)",OWS,OWS1,Q039,VALUE,23,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2023,2023,ME,Maine,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,18.5,18.5,,,13.3,25.1,326,,,,Hispanic,"(45.254228894001, -68.985031336)",OWS,OWS1,Q039,VALUE,23,Race/Ethnicity,Hispanic,RACE,RACEHIS
2023,2023,ME,Maine,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,5.3,5.3,,,1.6,16.4,59,,,,American Indian/Alaska Native,"(45.254228894001, -68.985031336)",OWS,OWS1,Q039,VALUE,23,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2023,2023,ME,Maine,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,13.8,13.8,,,12.6,15,5244,,,,Non-Hispanic White,"(45.254228894001, -68.985031336)",OWS,OWS1,Q039,VALUE,23,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2023,2023,MD,Maryland,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,11,11,,,9.1,13.2,1469,,,,Asian,"(39.290580964, -76.609260111)",OWS,OWS1,Q039,VALUE,24,Race/Ethnicity,Asian,RACE,RACEASN
2023,2023,MD,Maryland,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,17.2,17.2,,,15.9,18.7,7267,,,,Non-Hispanic Black,"(39.290580964, -76.609260111)",OWS,OWS1,Q039,VALUE,24,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2023,2023,MD,Maryland,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,19.8,19.8,,,17.8,22,4929,,,,Hispanic,"(39.290580964, -76.609260111)",OWS,OWS1,Q039,VALUE,24,Race/Ethnicity,Hispanic,RACE,RACEHIS
2023,2023,MD,Maryland,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,24.9,24.9,,,11.8,45.1,77,,,,Hawaiian/Pacific Islander,"(39.290580964, -76.609260111)",OWS,OWS1,Q039,VALUE,24,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2023,2023,MD,Maryland,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,12.2,12.2,,,4.7,28.4,153,,,,American Indian/Alaska Native,"(39.290580964, -76.609260111)",OWS,OWS1,Q039,VALUE,24,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2023,2023,MD,Maryland,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,12.8,12.8,,,11.8,13.8,16781,,,,Non-Hispanic White,"(39.290580964, -76.609260111)",OWS,OWS1,Q039,VALUE,24,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2023,2023,MA,Massachusetts,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,13.5,13.5,,,9.5,18.8,207,,,,Asian,"(42.27687047, -72.082690675)",OWS,OWS1,Q039,VALUE,25,Race/Ethnicity,Asian,RACE,RACEASN
2023,2023,MA,Massachusetts,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,22,22,,,16.6,28.6,354,,,,Non-Hispanic Black,"(42.27687047, -72.082690675)",OWS,OWS1,Q039,VALUE,25,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2023,2023,MA,Massachusetts,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,19.6,19.6,,,16.7,22.8,710,,,,Hispanic,"(42.27687047, -72.082690675)",OWS,OWS1,Q039,VALUE,25,Race/Ethnicity,Hispanic,RACE,RACEHIS
2023,2023,MA,Massachusetts,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,12.4,12.4,,,10.4,14.7,1228,,,,Non-Hispanic White,"(42.27687047, -72.082690675)",OWS,OWS1,Q039,VALUE,25,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2023,2023,MI,Michigan,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,10.9,10.9,,,5,22.5,100,,,,Asian,"(44.661319543001, -84.71439027)",OWS,OWS1,Q039,VALUE,26,Race/Ethnicity,Asian,RACE,RACEASN
2023,2023,MI,Michigan,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,15.5,15.5,,,13.1,18.3,279,,,,Non-Hispanic Black,"(44.661319543001, -84.71439027)",OWS,OWS1,Q039,VALUE,26,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2023,2023,MI,Michigan,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,14.8,14.8,,,9.9,21.7,280,,,,Hispanic,"(44.661319543001, -84.71439027)",OWS,OWS1,Q039,VALUE,26,Race/Ethnicity,Hispanic,RACE,RACEHIS
2023,2023,MI,Michigan,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,15.5,15.5,,,12.4,19.2,1252,,,,Non-Hispanic White,"(44.661319543001, -84.71439027)",OWS,OWS1,Q039,VALUE,26,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2023,2023,MS,Mississippi,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,19,19,,,15.1,23.6,340,,,,Non-Hispanic Black,"(32.745510099, -89.538030825)",OWS,OWS1,Q039,VALUE,28,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2023,2023,MS,Mississippi,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,23.1,23.1,,,10.8,42.6,54,,,,Hispanic,"(32.745510099, -89.538030825)",OWS,OWS1,Q039,VALUE,28,Race/Ethnicity,Hispanic,RACE,RACEHIS
2023,2023,MS,Mississippi,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,15.5,15.5,,,8.1,27.7,120,,,,Non-Hispanic White,"(32.745510099, -89.538030825)",OWS,OWS1,Q039,VALUE,28,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2023,2023,MO,Missouri,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,23.9,23.9,,,14.2,37.2,30,,,,Asian,"(38.635790776, -92.566300053)",OWS,OWS1,Q039,VALUE,29,Race/Ethnicity,Asian,RACE,RACEASN
2023,2023,MO,Missouri,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,25.8,25.8,,,15.4,39.9,61,,,,Non-Hispanic Black,"(38.635790776, -92.566300053)",OWS,OWS1,Q039,VALUE,29,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2023,2023,MO,Missouri,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,18,18,,,6.5,40.8,44,,,,Hispanic,"(38.635790776, -92.566300053)",OWS,OWS1,Q039,VALUE,29,Race/Ethnicity,Hispanic,RACE,RACEHIS
2023,2023,MO,Missouri,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,14.5,14.5,,,10.2,20.1,409,,,,Non-Hispanic White,"(38.635790776, -92.566300053)",OWS,OWS1,Q039,VALUE,29,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2023,2023,MT,Montana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,7,7,,,0.9,38.5,44,,,,Asian,"(47.066528972, -109.424420645)",OWS,OWS1,Q039,VALUE,30,Race/Ethnicity,Asian,RACE,RACEASN
2023,2023,MT,Montana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,7.4,7.4,,,1.6,28.2,32,,,,Non-Hispanic Black,"(47.066528972, -109.424420645)",OWS,OWS1,Q039,VALUE,30,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2023,2023,MT,Montana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,18.5,18.5,,,14.4,23.3,282,,,,Hispanic,"(47.066528972, -109.424420645)",OWS,OWS1,Q039,VALUE,30,Race/Ethnicity,Hispanic,RACE,RACEHIS
2023,2023,MT,Montana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,17.6,17.6,,,14.4,21.2,402,,,,American Indian/Alaska Native,"(47.066528972, -109.424420645)",OWS,OWS1,Q039,VALUE,30,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2023,2023,MT,Montana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,13.8,13.8,,,12,15.9,2307,,,,Non-Hispanic White,"(47.066528972, -109.424420645)",OWS,OWS1,Q039,VALUE,30,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2023,2023,US,National,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,11.1,11.1,,,8.6,14.4,886,,,,Asian,,OWS,OWS1,Q039,VALUE,59,Race/Ethnicity,Asian,RACE,RACEASN
2023,2023,US,National,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,17.5,17.5,,,14.9,20.4,1625,,,,Non-Hispanic Black,,OWS,OWS1,Q039,VALUE,59,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2023,2023,US,National,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,16.2,16.2,,,14.5,18.1,3374,,,,Hispanic,,OWS,OWS1,Q039,VALUE,59,Race/Ethnicity,Hispanic,RACE,RACEHIS
2023,2023,US,National,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,15.4,15.4,,,5.7,35.2,89,,,,Hawaiian/Pacific Islander,,OWS,OWS1,Q039,VALUE,59,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2023,2023,US,National,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,17.4,17.4,,,8.9,31.1,1175,,,,American Indian/Alaska Native,,OWS,OWS1,Q039,VALUE,59,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2023,2023,US,National,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,13.5,13.5,,,12.3,14.7,8831,,,,Non-Hispanic White,,OWS,OWS1,Q039,VALUE,59,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2023,2023,NE,Nebraska,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,16.4,16.4,,,9,28,104,,,,Hispanic,"(41.641040988001, -99.365720623)",OWS,OWS1,Q039,VALUE,31,Race/Ethnicity,Hispanic,RACE,RACEHIS
2023,2023,NE,Nebraska,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,12.1,12.1,,,8.8,16.5,396,,,,Non-Hispanic White,"(41.641040988001, -99.365720623)",OWS,OWS1,Q039,VALUE,31,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2023,2023,NV,Nevada,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,17.1,17.1,,,10.2,27.2,122,,,,Asian,"(39.49324039, -117.071840564)",OWS,OWS1,Q039,VALUE,32,Race/Ethnicity,Asian,RACE,RACEASN
